Catalog ID	Object Type
24285	PAYLOAD
36654	DEBRIS
22398	DEBRIS
30905	DEBRIS
19420	PAYLOAD
42492	DEBRIS
10287	PAYLOAD
270056	UNKNOWN
6392	PAYLOAD
17792	DEBRIS
7493	ROCKET BODY
34696	DEBRIS
28498	PAYLOAD
30149	DEBRIS
23404	PAYLOAD
34114	DEBRIS
4158	DEBRIS
41250	DEBRIS
12290	DEBRIS
31608	DEBRIS
23716	ROCKET BODY
29532	DEBRIS
14445	DEBRIS
33966	DEBRIS
35433	DEBRIS
36680	DEBRIS
14450	PAYLOAD
37148	DEBRIS
32338	DEBRIS
38233	DEBRIS
40541	ROCKET BODY
47081	DEBRIS
19473	DEBRIS
23089	DEBRIS
10459	PAYLOAD
13600	PAYLOAD
5842	DEBRIS
87848	UNKNOWN
12791	PAYLOAD
35350	DEBRIS
39782	DEBRIS
31282	DEBRIS
27561	PAYLOAD
85283	UNKNOWN
32207	DEBRIS
37572	DEBRIS
8923	PAYLOAD
30923	DEBRIS
42211	DEBRIS
10294	PAYLOAD
23680	PAYLOAD
10676	PAYLOAD
33689	DEBRIS
20367	PAYLOAD
43917	ROCKET BODY
